Type,Name,Description,Image,StatToSucceed,EnemyDefendStat,Damage,Healing,CastPerRest,Class,Notes
ability,Minor Illusion,The ability to create fake stories or gossip that stir up drama without anyone knowing where it came from. Lasts at least 1 minute of in-game time.,,"Dexterity, Charisma","intelligence, wisdom",N/A,N/A,99,Flirt,N/A
ability,Vicious Mockery,"Classic insults and put-downs. A perfect burn that leaves the target emotionally wrecked but without any real harm. The target must be within hearing distance. If sucessful, the target rolls with disadvantage on the next attack roll they take.",,"Dexterity, Charisma",wisdom,4,N/A,99,Flirt,Enemy rolls with Disadvantage on their next turn. increade 1D4 at level 5.
ability,Charm Person,"Ability to turn on the charm when needed, making people feel special and important—until they’re no longer useful. If successful, the target will do anything you ask of them, within reason, for the next 10 minutes of in-game time.",,"Dexterity, Charisma",wisdom,N/A,N/A,99,Flirt,Charm state hold until the enemy is injured
ability,Detect Magic,They have an instinct for sniffing out hidden motives or noticing when someone is being deceptive or manipulative.,,Intelligence,wisdom,N/A,N/A,99,Flirt,Lasts for 10 Minutes and requires concentration to maintain
ability,Healing Word,A well-placed compliment or show of concern that quickly patches up minor conflicts.. The target will regain 1d4 hit points.,,wisdom,N/A,N/A,4,99,"Flirt, Empath",1 additional D4 per Character level
ability,Thunderwave,"A major blow-up or outburst that sends shockwaves through the group, shaking up the social dynamics in a big way. Area of effect is a 15-foot radius. On a successful save, the enemy takes half damage.",,"Dexterity, Charisma",constitution,"8, 8",N/A,1,Flirt,1 additional D8 per Character level
ability,Guidance,"This character can offer just the right advice or encouragement to give someone an edge in a tricky social situation. A pep talk before a big event, or telling someone exactly what they need to hear to make the best impression. The target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check.",,wisdom,N/A,N/A,4,99,Empath,1 additional D4 per Character level
ability,Mending,Skilled in fixing broken relationships or minor social faux pas—usually with just the right words or a well-timed apology. The target will regain 1d4 hit points.,,N/A,N/A,N/A,N/A,99,Empath,takes 1 minute to cast
ability,Bless,"A character with this power can boost the confidence of their friends or allies. They offer compliments or motivational words that make others feel invincible, increasing their success in social or personal challenges. Your target can roll with advantage for the next minute in game time.",,wisdom,N/A,N/A,4,99,Empath,1 additional D4 per Character level
ability,Shield of Faith,"A protective aura of confidence or reputation that makes attacks (verbal, social, emotional) less effective. The character might have a strong fan base or loyal group of friends who defend them, making it harder for anyone to successfully damage their image. Grants a +2 bonus to saving throws for 10 minutes in game.",,wisdom,N/A,N/A,N/A,99,Empath,Lasts for 10 Minutes and requires concentration to maintain. Provides a +2 bonus to defense rolls of the chosen target
ability,Guiding Bolt,"A well-aimed statement or piece of gossip that completely exposes someone, shining a light on their flaws, secrets, or lies. This attack leaves the target vulnerable, and the entire group can take advantage of this newly revealed weakness. On a hit, the target takes 4d6 radiant damage, and the next attack roll made against this target before the end of your next turn has advantage.",,wisdom,"Dexterity, Constution","6, 6, 6, 6",N/A,1,Empath,1 additional D6 per Character level
ability,Intimidation,"Harness your fierce attitude and commanding presence to dominate any confrontation. With sharp words, piercing stares, and unshakable confidence, you can silence your opponents and sway the room's energy in your favor. ",,"Dexterity, Charisma",Constution,N/A,N/A,99,Fighter,"If successful, the target will do anything you ask of them, within reason, for the next 10 minutes of in-game time. Target rolls for wisdom to escape during their turns"
ability,Attack,"When words aren't enough, escalate the situation with dramatic gestures, quick comebacks, or even physicality. Whether it's throwing shade, hurling insults, or tossing an actual glass, this move is about taking the conflict to the next level. If successful, the target will take damage equal to your dice roll.",,"Dexterity, Charisma",Constution,8,N/A,99,Fighter,1 additional D8 per Character level
ability,Duel,"The character excels in one-on-one confrontations. They thrive in direct confrontations, where they can focus all their energy on a single person, verbally overpowering them and always coming out on top in head-to-head battles. If the target accepts, you will both roll a d20. The higher roll wins. If you win, the target will take half the damage of your dice roll.",,Wisdom,Wisdom,20,N/A,99,Fighter,"If the target accepts, you will both roll a d20. The higher roll wins. If you win, the target will take half the damage of your dice roll."
ability,Two Handed Weapon,"This style fits someone who uses massive verbal attacks or drama bombs that cause shockwaves. They are known for huge, dramatic blow-ups that leave a lasting impact, whether it’s revealing a massive secret or making a major scene in front of a crowd.",,Strength,Constution,10,N/A,99,Fighter,1 additional D10 per Character level
ability,Investigation,"Use your network, intuition, and a little snooping to get to the bottom of rumors, shady behavior, or hidden alliances. Whether through casual gossip, social media stalking, or calling in favors from mutual acquaintances, the goal is to uncover information others want hidden.",,Intelligence,Intelligence,N/A,N/A,99,"Backstabber, Fighter, Empath, Professional, flirt",The depth of information revealed is comparitive to the die
ability,Action Surge,The ability to take an additional action on your turn. This action can be used to attack or use an ability.,,"Dexterity, Charisma",N/A,N/A,N/A,1,Fighter,N/A
ability,Sneak Attack,"This translates into a character’s ability to strike when their target is least expecting it. Socially, they might use a well-timed insult, expose a secret, or deliver a verbal jab just as the other person’s guard is down. The sneak attack works best in a one-on-one conversation or a small group where they can take someone by surprise. ",,Dexterity  ,Dexterity,20,N/A,99,Backstabber,"If successful, the target will take additional damage equal to your sneak attack dice roll."
ability,Theves Cant,"The character’s ability to communicate in code, using subtle innuendos, looks, or gestures that only a select few understand. It’s how they might speak in front of the whole group but say things that only their closest allies (or those in the know) will pick up on.",,Intelligence,Intelligence,N/A,N/A,99,Backstabber,N/A
ability,Disguise,"Master the art of hiding your emotions, downplaying drama, or even keeping secrets about your own life. Whether it’s pretending to be someone’s friend while plotting against them, masking your financial struggles, or playing innocent in a heated argument, this skill lets you manipulate situations while keeping your true agenda hidden.",,Dexterity  ,Intelligence,N/A,N/A,99,Backstabber,N/A
ability,Cunning Action,"This ability represents their talent for quick, evasive social maneuvers. A character with Cunning Action can Doge Argument, Turn the tables, or Make an Escape.. 
Dodge Arguments: If an argument is about to turn against them, they know how to escape or deflect by changing the subject, leaving the room, or pulling a distraction to avoid facing the heat. 
Turn the Tables: If they’re backed into a corner, they can quickly shift the blame or redirect the attack onto someone else, taking the heat off themselves. 
Make an Escape: They always have an exit strategy ready—whether it’s walking out of a heated dinner or disappearing from a conversation at just the right moment before things get too tense.",,Dexterity  ,Dexterity,N/A,N/A,99,Backstabber,Non offensive.
ability,Sleight of Hand,"Perfect the art of subtly manipulating situations, slipping information, or even pulling off physical gestures unnoticed during dramatic confrontations. Whether it’s secretly passing a note, slipping something into someone’s purse, or quietly signaling to an ally during a heated discussion, this skill covers all the sneaky moves that can change the game without anyone realizing.",,Dexterity  ,Dexterity,N/A,N/A,99,Backstabber,Non offensive.
ability,Poison,"This skill is all about slowly but surely “poisoning” someone's social life or reputation. It involves subtle manipulation, spreading rumors, planting seeds of doubt, or influencing others to turn against a target. The poison here is metaphorical—emotional and psychological damage, rather than physical harm. If successful the target will take damage equal to your poison damage dice.",,Dexterity  ,Constution,N/A,N/A,1,Backstabber,"On a failed save, the target has a poisoned conditioned and rolls at a disadvantage. They have to make a constution saving throw each turn"
ability,Light,"magnetic presence, always shining the spotlight on themselves in any social gathering. They attract attention effortlessly. Can be used to blind a target or illuminate a situation.",,Intelligence,Wisdom,N/A,N/A,99,Professional,Lasts for 1 hour in game time.
ability,Mage Hand,Perfect for manipulating things (or people) from a distance. They could subtly influence a situation without getting directly involved.,,Intelligence,Intelligence,N/A,N/A,99,Professional,N/A
ability,Ray of Frost,"This translates into emotionally freezing someone out. They can give the cold shoulder, creating a frosty atmosphere where the target feels isolated and cut off from the group. It’s the silent treatment, the chill in the room that makes everyone else uncomfortable. On a hit, the target takes 1d8 damage, and its speed is reduced by 10 feet until the start of your next turn.",,Intelligence,Constution,8,N/A,99,Professional,"On a hit, the target takes 1d8 damage, and its speed is reduced by 10 feet until the start of your next turn."
ability,Shield,"The ability to deflect incoming criticism or attacks. They are masters at building up defenses on the fly, using quick excuses, counterattacks, or charm to shield themselves from the worst social blows. If someone tries to take them down, they raise a barrier and brush off the insults with ease.",,Intelligence,Intelligence,N/A,N/A,99,Professional,You gain a +5 to your defensive roll and lasts until your next turn
ability,Magic Missle,"The character’s ability to deliver rapid-fire verbal attacks that are impossible to dodge. When they want to take someone down, they unleash multiple insults or revelations in quick succession, each one hitting its mark. It’s a well-coordinated attack where each point lands. It deals 1d4 + 1 damage to its target.",,Intelligence,Intelligence,"4, 4, 4",N/A,1,Professional,1 additional D4 per Character level