Type,Name,Description,Armor class,Hit Points,Speed,St,Dex,Con,Int,Wis,Cha,damage immunities,attack action 1,description 1,attack action 2,description 2,attack action 3,description 3,Image
Enemy,Drama Elementals (1 per party member),Manifestations of raw gossip energy that spread chaos wherever they go. They thrive on secrets and misunderstandings.,15,45,40ft,10,14,14,10,12,16,Psychic,Gossip Bolt,"Deals psychic damage and forces the target to make a Wisdom save or spill a secret. Ranged attack, 30 ft. Psychic damage (4d8).",Drama Aura,Enemies within 10 feet have disadvantage on Insight checks due to emotional distraction.,n/a,n/a,/Images/Drama_Elemental.png
Enemy,Fashion Mimic,A fashionista with a designer handbag or high heel that animates to attack anyone who questions its authenticity.,13,30,15 ft. (slow and deliberate),14,12,16,5,12,8,Acid,Lash Out,A whip-like strap attack. Grapples enemies who touch it (escape DC 13).,Consume Clout,Drains Charisma points temporarily. Target loses 1d4 Charisma for 1 hour if hit.,n/a,n/a,/Images/Fashion_Mimic.png
Enemy,Sabotage Spirit,A spectral figure embodying petty rivalries. It whispers lies to create paranoia among the party.,13,50,"30 ft., fly 40 ft. (hover)",8,14,14,12,12,16,"Psychic, poison",Whisper Feud,Forces two allies to attack each other unless they pass a Wisdom saving throw. (Recharge 5â€“6) The Sabotage Spirit whispers manipulative lies into the minds of two creatures within 30 ft. The creatures must make a DC 14 Wisdom saving throw or be compelled to use their next action to attack each other.,Vanish,"Disappears after causing mayhem, only to reappear later. As a bonus action, the spirit shifts into the Ethereal Plane, avoiding damage until the start of its next turn.",n/a,n/a,/Images/Sabatoge_Spirit.png
Enemy,Wine Elemental,"A swirling creature of spilled wine, fueled by tantrums and table-flipping energy.",14,60,"30 ft., fly 20 ft.",12,14,14,8,10,16,"Poison, psychic",Splash of Shade,"Throws acidic wine that deals damage and ruins clothing (lowers Charisma temporarily). Ranged attack, 20 ft., Acid damage (3d6).",Flip the Table,"Area attack causing bludgeoning damage and knocking targets prone. (Recharge 5â€“6): Area attack, 10 ft. radius. Creatures make a DC 14 Dex save or take 4d8 bludgeoning damage and are knocked prone.",n/a,n/a,/Images/Wine_Elemental.png
Enemy,Karen Chimera,"A monster with the heads of a lion, a snake, and a middle-aged woman demanding to speak to the manager of your adventuring party.",17,105,"40 ft., fly 30 ft.",18,12,16,10,14,16,"Psychic, fear effects",Entitlement Roar,Stuns party members for one round. DC 15 Wisdom save or be stunned for 1 round.,Complaint Strike,"Deals psychic damage based on unresolved grievances. Melee attack, +6 to hit, 2d10 psychic damage.",n/a,n/a,/Images/Karen_Chimera.png
Enemy,Reality Wight,Undead beings who drain vitality through exhausting arguments over trivial matters.,15,85,30 ft.,14,12,18,10,14,16,"Poison, charm effects",Exhaustion Touch,"Deals necrotic damage and adds a level of exhaustion. Melee attack, +6 to hit, reach 5 ft. Hit: 3d8 necrotic damage, and the target gains 1 level of exhaustion.",Reality Rift,"Summons illusions of past drama to distract party members. Creates illusory copies of past conflicts in a 20 ft. radius, forcing all creatures in the area to make a DC 15 Wisdom saving throw. On a failed save, they are incapacitated until the end of their next turn.",n/a,n/a,/Images/Reality_Wight.png
Enemy,Gangster,a humanoid creature with a combination of physical and social abilities to make them feel dangerous and resourceful.,14,30,30 ft.,14,16,14,12,11,15,"Fear, charm effects",Brass Knuckles,"Attack Roll: +4 to hit, reach 5 ft., one target.
 Damage: 5 (1d4 + 2) bludgeoning damage.
 Description: Makes punches deadlier and emphasizes their role as street brawlers.",Club or Baton.,"Attack Roll: +5 to hit, reach 5 ft., one target.
 Damage: 7 (1d8 + 3) bludgeoning damage.
 Description: A simple, effective weapon, doubling as a tool for intimidation.",n/a,n/a,/Images/Gangster_Waiters.png
Boss,The Table Titan,A massive animated dining table imbued with the spirit of legendary arguments.,18,150,20 ft.,22,8,20,5,10,8,"Bludgeoning, poison, psychic, Fire (polished wood surface)",Smash Attack,"Bludgeons targets with its legs. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 3d10 + 6 bludgeoning damage.",Debris Storm,"Throws plates and cutlery as ranged attacks. The Table Titan hurls broken plates, glasses, and utensils in a 15 ft. radius. Creatures must make a DC 16 Dexterity saving throw, taking 4d8 piercing damage on a failed save or half on a success.",Flip the Room,"As an action, the Table Titan flips itself, creating a shockwave in a 30 ft. radius. All creatures in range must succeed on a DC 17 Strength saving throw or be knocked prone and take 6d10 bludgeoning damage.",/Images/Table_Titan.png
Boss,Megan Lystrada,A recurring nemesis who can manipulate others into conflict. She pulls strings behind the scenes to ruin alliances. infamous for her cutting wit and enemy of Allana,16,110,30 ft.,12,16,14,14,12,18,"Psychic, charm effects",Fashion Critique,"Lowers Charisma temporarily. Melee or ranged spell attack: +6 to hit, reach 5 ft. or range 30 ft. Hit: 3d8 psychic damage, and the targetâ€™s Charisma score is reduced by 1d4 for 1 hour.",Web of Lies,"Creates illusions of betrayal to sow mistrust among the party. She targets up to three creatures within 60 ft. Each target must make a DC 15 Wisdom saving throw or become paranoid for 1 minute, perceiving allies as enemies and unable to benefit from friendly spells or abilities.",Backup Brigade,"As a bonus action, Kim D summons 1d4 Fashion Mimics or Sabotage Spirits within 20 ft.",/Images/Megan_Lystrada.png
Boss,"Tes, the Tantrum Queen","Inspired by Teresa Giudice, this boss is a fiery barbarian archetype who channels her rage into table-flipping and verbal attacks.",16,120,30 ft.,20,14,18,8,10,16,"Fear, charm effects",Table Toss,"A ranged attack that deals area damage Ranged attack, +7 to hit, 3d12 bludgeoning damage in a 15 ft. line.",Family Fury,Gains strength when fighting alongside minions representing family members. Gains +2 to damage for each ally within 10 feet.,Unstoppable Rage,Cannot be charmed or frightened when enraged.,Tess Tantrum Queen
Boss,Vinny Romano,An enforcer and cleaner for the mob,16,97,30 ft.,16,18,16,14,12,18,"Bludgeoning, Piercing, and Slashing",Dagger,"Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 20/60 ft., one target.
 Hit: 7 (1d6 + 4) piercing damage.",Intimidate,Vinny targets one creature within 30 feet. The target must succeed on a DC 15 Wisdom saving throw or be frightened until the end of their next turn.,Mob Boss,Allies within 30 feet of Vinny that can see or hear him gain advantage on saving throws against being frightened and can add his Charisma modifier (+4) to attack rolls.,/Images/Final_Dock_Scene.png